number_extend,scenario,host_id,mean,ic_lower,ic_upper
1000,baseline,host1,0.9745994959704399,0.9638118623420132,0.9850469239377951
1000,baseline,host2,0.9489112503264155,0.9387680263017214,0.9585737349396493
1000,local,host1,1.0058610250468938,0.988490566037736,1.0208771929824558
1000,local,host2,0.9871811069182389,0.9710377358490566,0.9994339622641508
1000,remote,host1,1.0299471448936806,1.0172380952380948,1.0422641509433963
1000,remote,host2,1.0041513371668165,0.9871698113207548,1.0162264150943394
1000,remote with mTLS,host1,1.0325550835264263,1.0080188679245283,1.0526415094339625
1000,remote with mTLS,host2,1.0272829056603774,1.0032075471698114,1.0487735849056603
10000,baseline,host1,1.17802330544283,1.1696752511151798,1.1854182883965454
10000,baseline,host2,1.1474800890527386,1.1399047049963524,1.1547598181138332
10000,local,host1,1.168603058048654,1.1575169082125605,1.176330357142857
10000,local,host2,1.149740252867248,1.1376425120772948,1.1643864734299518
10000,remote,host1,1.1217775078314636,1.1072038834951456,1.1401068999028183
10000,remote,host2,1.230002879325452,1.2197278911564624,1.2361650485436897
10000,remote with mTLS,host1,1.126206535463695,1.1092189006750242,1.140433944069431
10000,remote with mTLS,host2,1.2548991404825136,1.2322372227579557,1.2749324324324325
100000,baseline,host1,1.6255853149448922,1.5878703068471418,1.6695222755723542
100000,baseline,host2,1.6077095732009832,1.5657705399390194,1.65760068694736
100000,local,host1,2.2618650754834713,2.2497542857142854,2.2694358291313863
100000,local,host2,2.249308016195927,2.2310570421864586,2.26328860976306
100000,remote,host1,1.546882425906953,1.5274452485240906,1.5737870671513294
100000,remote,host2,3.0436383859961103,3.0361028920492505,3.04873631082754
100000,remote with mTLS,host1,1.5552179595964337,1.5289892554911095,1.5870494917830344
100000,remote with mTLS,host2,3.0958571600654166,3.065762647394447,3.1116320924505074
